Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6191, 0.00585281, 1, 0, -2, -4, -0.275391, 0.0605469, 1.02051
6192, 0.00531401, 2, -2, 0, -2, -0.275391, 0.0605469, 1.02051
6193, 0.00475211, -1, 1, 1, -3, -0.275391, 0.0605469, 1.02051
6194, 0.00498963, -1, 1, 1, -3, -0.275391, 0.0605469, 1.02051
6195, 0.00504094, -2, -3, 0, 1, -0.282715, 0.0595703, 1.02393
6196, 0.00506257, -2, -3, 0, 1, -0.282715, 0.0595703, 1.02393
6197, 0.00490569, -2, -3, 0, 1, -0.282715, 0.0595703, 1.02393
6198, 0.004979, -7, -3, 0, -2, -0.282227, 0.059082, 1.03174
6199, 0.00501455, 1, 5, 0, 0, -0.282227, 0.059082, 1.03174
6200, 0.00503471, 1, 5, 0, 0, -0.282227, 0.059082, 1.03174
6201, 0.00494527, 1, 0, 1, 1, -0.282227, 0.059082, 1.03174
6202, 0.00494857, 1, 0, 1, 1, -0.284668, 0.0620117, 1.03418
6203, 0.00509116, 1, 0, 1, 1, -0.284668, 0.0620117, 1.03418
6204, 0.0049713, -3, 1, -5, -4, -0.284668, 0.0620117, 1.03418
6205, 0.00501418, 1, -6, 0, 3, -0.284668, 0.0620117, 1.03418
6206, 0.00500062, 1, -6, 0, 3, -0.284668, 0.0620117, 1.03418
6207, 0.00498339, -2, -5, 0, 2, -0.273926, 0.0610352, 1.03174
6208, 0.00503727, -2, -5, 0, 2, -0.273926, 0.0610352, 1.03174
6209, 0.00509702, -2, -5, 0, 2, -0.273926, 0.0610352, 1.03174
6210, 0.00487673, -2, 1, 0, -2, -0.275391, 0.0634766, 1.02441
6211, 0.00500099, -1, 2, -4, -4, -0.275391, 0.0634766, 1.02441
6212, 0.00504351, -1, 2, -4, -4, -0.275391, 0.0634766, 1.02441
6213, 0.00495151, -3, 0, 3, 6, -0.275391, 0.0634766, 1.02441
6214, 0.00493135, -3, 0, 3, 6, -0.283691, 0.0629883, 1.02148
6215, 0.00507503, -3, 0, 3, 6, -0.283691, 0.0629883, 1.02148
6216, 0.00500025, -4, -3, -4, -4, -0.283691, 0.0629883, 1.02148
